,sgRNA,Lib36_gDNA,Lib36_sorted1,Lib36_sorted2,Lib66_sorted1,Lib66_sorted2,Lib66_gDNA
97,menD_17,7.655644185414763e-05,0.0,0.0,1.5214457489672785e-05,0.0,3.211441443675001e-05
98,Entry288_68,9.594513577602854e-05,0.0,0.0001394332474221189,1.5214457489672785e-05,3.7372572269211626e-05,5.0975261010714296e-05
99,Entry523_117,0.00011359988146099326,0.0016866335227083244,0.0,0.00010876718545808628,2.072479007656281e-05,0.00013740149899706174
100,ssl5045_129,0.00011454567140840207,0.0,0.0006644865697460353,0.0,6.828988205555942e-05,7.966043061583445e-05
101,Entry1625_21,5.443546586197457e-05,0.0,0.00029121214695973795,0.0,0.0,3.4385130609045474e-05
102,Entry268_41,8.985004500383833e-05,9.257542429291184e-05,0.0,1.1329915151883987e-05,1.3590026279713318e-05,0.00010347977985175003
103,hoxF_139,0.0001385056834094256,8.93739686977679e-05,0.0,3.075262684082796e-05,0.00010362395038281404,2.8546146166000013e-05
104,Entry1879_104,0.00011155066990827412,0.0,2.1060230079382543e-05,0.0,0.0,1.960230491593832e-05
105,ho1_19,1.4081761439198057e-05,0.0,0.0,0.0,0.0,9.685299592035716e-06
106,nrtB_46,2.8321154536297582e-05,0.0,0.0009527938573844793,0.0,0.0,1.8304752817483773e-05
107,Entry1878_21,0.00029508646359155323,0.00024277704929841435,0.00033986854059141485,5.8591846928314333e-05,0.00014609278250691819,0.00043806285666752936
108,Entry1169_57,2.4853258062465224e-05,0.0,0.0,0.0,0.0,2.8546146166000013e-05
109,Entry1030_14,6.851722730117262e-05,0.0,3.5221419270691496e-05,1.4243321905225587e-05,0.0,5.551669335530521e-05
110,Entry167_20,3.72010712647471e-05,0.0,0.0,0.00012883732086999504,0.0,1.6034036645188314e-05
111,ssr2016_62,0.0002373407329136478,0.0016495499953979075,0.00025381208319807583,0.001144645142201765,0.006283688401082446,0.00019852547106354555
112,ski2_8,0.00010577084245188688,0.0004281946858505001,9.76758946785156e-05,0.000177394100092355,0.0,0.0001368917463869546
115,Entry1359_47,7.098678994162901e-05,0.0,0.0,0.0,0.0,8.656526142546756e-05
116,sll1485_27,6.625784020458487e-05,0.0,0.0,5.3412457144595944e-05,0.0,7.150438885412015e-05
117,slr6004_88,0.00013204278543546533,0.0,0.0,7.315888069502231e-05,1.596828087866315e-05,8.902134218325653e-05
118,ycf34_20,8.081249661748734e-05,0.0,0.00014487985864954542,0.0,0.00018380510543312262,0.00014782825693107152
119,Entry1287_1,3.809431732618877e-05,0.0,0.0,3.140005056379276e-05,8.289916030625124e-05,7.59994800523377e-05
121,sll1033_14,9.547224080232412e-05,0.0,0.0001372546029311483,6.636093160389192e-05,0.0003672704602092524,4.476554739668183e-05
122,sll5033_125,9.589259189006136e-05,0.0,0.0,8.25465246780119e-05,4.178933081011846e-05,0.00015172091322643508
123,gcvT_32,9.73112768111746e-05,0.0,0.0,3.8197999654923164e-05,0.0,0.00010677000124425978
124,Entry304_37,5.0757393844273575e-05,0.0,0.0004306453943818568,5.729699948238474e-05,2.8878805844390803e-05,5.37557297931169e-05
126,slr1928_80,6.026783720432898e-05,0.0,1.4161189191308953e-05,0.00030882111585420923,3.873157489718296e-05,4.342165415185391e-05
127,slr0517_12,7.85531095208996e-05,0.0,0.0,8.092796537059991e-05,0.0,2.7294935213918846e-05
128,slr1400_13,7.9026004494604e-05,0.0,0.0,0.00020717559134873572,9.988669315589288e-05,0.00012697474106305198
129,sll1663_62,9.925540059195942e-05,0.0,0.0,0.0003971944540389043,4.009057752515429e-05,7.04385424875325e-05
130,slr0280_5,0.0002498987216597983,0.0,0.0,2.330725402673277e-05,6.0815367601717105e-05,0.00022364237239791567
131,Entry899_10,1.2715620404051974e-05,0.0,0.0,1.3919610043743186e-05,3.2276312414319126e-05,2.442178413876949e-05
132,Entry178_50,5.490836083567898e-05,0.0,9.876521692400088e-05,1.1653627013366389e-05,1.2231023651741985e-05,1.3346250155532472e-05
133,uvrA_20,5.375239534440153e-05,3.5482799512845174e-05,0.0,0.00021203126927097176,0.0,5.0048438083246775e-05
134,Entry1665_5,0.00015621297298035753,0.0,2.9048593212941443e-05,0.00013984352416039663,1.5628530221670315e-05,0.00012484304832987666
135,Entry1456_31,7.324617703821674e-05,0.0,3.1227237703912046e-05,6.992176208019831e-05,0.0,3.8463151489902614e-05
136,fbp_17,6.725617403796085e-05,0.0,0.0,0.0,1.5288779564677483e-05,1.6682812694415593e-05
137,sll0676_37,0.00010251312152192315,0.0,0.0,9.03156093535895e-05,1.8006784820620147e-05,0.00014347218917197408
138,rne_82,0.00014654489796240064,0.0,0.0,0.00012883732086999504,1.7667034163627313e-05,0.0003410708373080521
139,slr7059_23,0.00010288092872369324,0.0,0.0,6.247638926610312e-05,9.445068264400756e-05,9.397984484520783e-05
140,Entry1595_26,6.862231507310695e-05,0.0,0.0,0.0,0.0,0.0001057504960240455
141,slr1079_44,1.3241059263723544e-05,0.0,0.0,1.1006203290401586e-05,0.0,1.9741328355058448e-05
142,sll0912_127,5.9689854458690255e-05,0.0,0.0,0.00015182086303524542,0.0,8.017018322594159e-06
143,Entry472_0,9.137381769688588e-05,0.00028279524423771335,0.0,0.00010844347359660389,1.3250275622720485e-05,7.7760443614526e-05
144,rfbB3_49,6.64680157484535e-05,0.0,0.0,0.00014469920208263264,1.936578744859148e-05,0.00012349915508504876
145,Entry1406_2,6.704599849409222e-05,0.0,0.00013870703259179538,0.0,0.0,5.0604531839727286e-05
146,slr1567_31,4.003844110697357e-05,0.0,0.0,0.0,0.0,2.812907584863962e-05
148,Entry1931_45,7.97616188981442e-05,0.0,0.0003442258295733561,0.00010294037195140308,0.0,7.391412846553576e-05
149,Entry2096_32,0.0002230487959305811,0.0,0.0002636159834074436,0.00043992441975458115,0.0006645522850779813,0.00018193534066187668
150,Entry2040_42,8.065486495958587e-05,0.0,0.0,1.3272186320778384e-05,0.0,0.00010941144658754224
151,sdhB_26,0.00028547093245956346,0.0014889436397081874,0.001544658944098161,0.00037097379325882996,9.241217870205056e-05,0.0001506087257134741
152,sll0154_22,0.00013524796247946192,0.0,4.2846674989088626e-05,1.877528796597918e-05,1.4269527593698984e-05,0.0002520494951247956
154,Entry1770_37,0.00014964498723446293,0.0,0.0,1.2624762597813585e-05,3.5334068327254625e-05,0.00012651132959931824
155,slr0244_38,9.478917028475108e-05,0.0,0.0,3.3342321732687164e-05,0.0,4.133630256505197e-05
156,Entry254_35,8.491091972292558e-05,0.0,5.3739897443941666e-05,0.0002592932010474021,0.0,2.664615916469157e-05
157,sll0742_41,7.109187771356332e-05,0.0,0.0,0.0,0.0005667040958640452,5.0789896425220794e-05
158,Entry2051_9,7.287836983644664e-05,2.6412008659937385e-05,0.0,8.28702365394943e-05,0.0,8.716769632832146e-05
159,Entry1715_47,8.669741184580892e-05,0.0,0.0,9.290530424544868e-05,0.0,0.00015802330913321434
160,Entry198_98,0.0001040368942149707,0.0,0.00045751534310382766,0.0,0.00032989788794004083,2.4931536748876637e-05
161,sll1192_6,4.876072617752162e-05,0.0,0.0,0.0,0.0,5.306061259751626e-05
162,ycf45_14,0.00010419452587287216,0.0003366864134226362,0.0,0.00016444562563305902,0.0,3.160466182664287e-05
163,slr1376_31,0.0001924682542976958,0.000301203613909791,0.0,2.0717559134873572e-05,3.839182424019013e-05,0.0004166532470430294
164,Entry272_37,7.067152662582605e-05,0.0,9.586035760270674e-05,1.5861881212637582e-05,0.0,4.763869847183119e-05
165,slr0179_58,0.00014302445760260113,0.0,4.066803049811801e-05,8.83733381846951e-05,4.348808409508262e-05,3.4385130609045474e-05
166,Entry585_16,4.418940809837897e-05,0.0,0.0,0.0,0.0,8.29506520083442e-06
167,ccmA_64,3.11059804925569e-05,0.0,0.0,0.0,0.0,8.480429786327926e-06
168,sll0814_109,6.98833683363187e-05,0.0,0.0,0.0,2.412229664649114e-05,5.6721563161013016e-05
169,apqZ_172,0.00011669997073305552,0.0,0.0,0.0,2.0045288762577145e-05,8.420186296042536e-05
170,sll1265_12,2.043957164122404e-05,0.0,0.0,1.812786424301438e-05,0.0,6.700929765590262e-05
171,nusA_66,1.691913128142453e-05,1.8141581705815578e-05,0.0,3.690315220899356e-05,0.0,2.127058618537988e-05
172,sll8020_5,0.00012011532332092073,0.0,0.0,1.0682491428919189e-05,2.310304467551264e-05,9.017987084259094e-05
173,Entry1541_4,8.764320179321774e-05,0.0,0.0,0.0,4.382783475207545e-05,7.414583419740262e-05
174,rps7_36,1.2663076518084814e-05,0.0,0.0,0.0,1.6647782192648815e-05,1.3856002765639615e-05
175,sll0177_32,8.254644485440351e-05,0.0,0.0,0.0,0.0,8.61018499617338e-05
176,slr1629_8,6.1003451607869175e-05,0.0,0.0002843131060716643,1.1977338874848786e-05,3.7372572269211626e-05,8.410918066767859e-05
177,slr6102_90,5.811353787967555e-05,0.0,0.0,8.351766026245911e-05,0.0,6.877026121809093e-05
178,Entry1562_4,9.888759339018932e-05,0.0,0.0004208414941724891,0.0,1.155152233775632e-05,4.666553439799028e-05
179,slr1708_26,0.0001939920269907433,6.322874800409253e-05,0.00020261393766026647,0.0006085782995869112,0.0001287654990002837,0.00028300538090221116
180,slr1302_17,0.00010566575467995256,0.0,0.0,4.6938219914947936e-05,3.703282161221879e-05,8.74920843529351e-05
181,sll1366_28,8.433293697728686e-05,0.00014486586568026265,0.0,0.0,4.382783475207545e-05,1.8119388231990268e-05
182,sll0855_49,0.0001871087779290458,0.0011407853437362856,0.0,0.00032759640382018843,0.00015866355681565302,0.00012702108220942536
183,ssr3129_17,7.340380869611821e-05,0.0,0.0,2.330725402673277e-05,2.446204730348397e-05,2.2799844015701306e-05
184,ftsH_89,6.462897973960301e-06,0.0,0.0,0.0,0.0,2.6414453432824686e-06
186,slr5111_27,8.690758738967755e-05,0.0,6.245447540782408e-05,9.48475754143431e-05,6.625137811360243e-05,0.00013165519684676304
187,slr1800_19,0.0001288901522774359,0.00021636504063847692,3.8126278591985636e-05,7.380630441798712e-05,1.3590026279713318e-05,0.00017234272336258774
188,slr0318_38,6.042546886223046e-05,0.0,0.00010893222454853041,1.618559307411998e-05,3.941107621116862e-05,4.337531300548053e-05
190,ssr1562_30,7.592591522254173e-05,0.0,0.0,0.0,0.0,9.00871885498442e-05
191,fhuA2_70,6.951556113454859e-05,0.0,5.519232710458873e-05,0.0,0.0,8.4526250985039e-05
192,slr1886_13,8.275662039827216e-05,0.00015820526399336232,0.0,0.0,0.0,2.5163242480743515e-05
193,sll0630_52,0.00010508777193431384,0.0,0.0,0.0,0.0,0.00013564053543487344
194,sll1319_158,2.637703075551277e-05,0.0,0.0,5.988669437424393e-05,0.00030985259917746367,1.4736484546733774e-05
195,sms_34,7.508521304706724e-05,0.0012184206419185255,0.00017283912961700156,0.0003486376748165444,0.0,0.0001182626055448572
196,Entry1346_50,5.9111871713051525e-05,1.5740490009457633e-05,8.460402773269193e-05,4.2406253854194346e-05,0.0,6.719466224139612e-06
197,gabD_32,9.573496023215991e-05,0.0,0.0,0.00010488264312029748,0.0,0.00011103338671061045
198,sll1169_103,0.00018747658513081588,0.0,0.0006485098434789176,6.053411809720873e-05,0.00030271783538061417,0.00022429114844714292
199,Entry2084_8,1.9020886720110808e-05,0.0,0.0,0.0,0.0,1.4458437668493511e-05
201,Entry704_74,0.00011943225280334768,0.0,0.0,6.603721974240952e-05,1.630803153565598e-05,9.374813911334095e-05
202,Entry2056_0,9.894013727615648e-05,0.0,0.0003750899598621063,0.00021818179463913736,0.0,0.00013587224116674032
203,desC(des9)_141,7.277328206451233e-05,0.0,0.0,3.981655896233515e-05,8.901467213212223e-05,8.420186296042536e-05
204,sll0263_10,2.8846593395969153e-05,0.0,3.776317117682387e-05,0.0,0.0,1.2604791813558446e-05
206,sll0493_62,6.809687621343536e-05,0.0,0.0,1.5538169351155182e-05,4.926384526396078e-05,7.122634197587989e-05
207,sll7078_79,4.5082654159820645e-05,0.0,0.0,5.729699948238474e-05,0.0,4.346799529822729e-05
208,sll0163_59,0.00018936816502563357,0.0005759952191596446,0.0004473483354792981,8.966818563062469e-05,2.140429139054848e-05,0.00014736484546733772
209,sll0208_3,3.967063390520347e-05,0.0,0.0,0.0,0.0,8.01701832259416e-05
210,rpl12_149,2.9266944483706404e-05,0.0,0.0,0.0,0.0,1.9926692940551954e-06
211,lysC_124,3.625528131733827e-05,0.0,6.209136799266233e-05,0.0,0.0,1.8119388231990268e-05
212,petC2_136,7.319363315224959e-05,0.0,0.0,1.1653627013366389e-05,0.0,0.00011399922007850652
213,Entry1062_156,0.00010676917628526286,0.0,0.0,0.00014437549022115024,9.411093198701475e-05,0.00011321142059015913
214,sll0981_97,0.00010566575467995256,0.0,0.0,5.405988086756074e-05,0.0003625139510113528,2.576567738359741e-05
215,Entry862_46,0.00011155066990827412,0.0,7.262148303235358e-05,1.3595898182260785e-05,1.596828087866315e-05,0.00015964524925628253
216,sll1300_7,4.644879519496672e-05,0.0,0.0,2.1364982857838374e-05,0.0,2.595104196909092e-05
217,sll1200_86,7.576828356464027e-05,0.0,0.0,0.0001657404730789886,2.480179796047681e-05,1.696085957265585e-05
218,slr1066_147,5.0967569388142214e-05,0.0,0.0,6.0857829958691125e-05,0.0,5.421914125685067e-06
219,slr1073_7,7.829039009106379e-05,0.0,0.0,8.351766026245911e-05,0.0,1.4319414229373382e-05
220,fmu/fmv_73,5.033704275653633e-05,0.0,0.00017574398893829572,2.1364982857838374e-05,0.0,9.175546981928577e-06
221,sll7028_34,0.00011937970891738051,0.0,0.0,7.477744000243431e-05,5.707811037479594e-05,0.0001827231401502241
222,ssl1255_28,2.674483795728287e-05,0.0,0.0,0.0,8.15401576782799e-05,7.368242273366887e-06
223,sll5042_139,7.986670667007852e-05,0.0,0.0,2.104127099635597e-05,3.0577559129354966e-05,1.4180390790253254e-05
224,Entry1990_9,5.869152062531428e-05,0.0,0.0,0.0,0.00016647782192648816,1.90462111594578e-05
225,slr1908_13,3.362808701898043e-06,0.0,0.0,0.0,0.0,3.197539099762988e-06
226,Entry105_22,2.784825956259317e-05,0.0,0.0,0.0,0.0,3.012174514269482e-06
227,atpG_16,6.126617103770496e-05,0.0,0.0,1.1653627013366389e-05,4.178933081011846e-05,5.9363008504295474e-05
228,slr1932_10,8.175828656489616e-05,0.0,0.0,0.00031756133611423405,0.0,5.741668035661366e-05
229,fabZ_15,1.2768164290019133e-05,0.0,0.0,0.0,0.0,2.692420604293183e-05
230,Entry442_38,6.494424305540594e-05,0.0,0.0,0.0,0.0,3.2068073290376635e-05
231,slr1992_3,0.00014260410651486388,0.0,0.0006503253805547265,1.1329915151883987e-05,1.494902890768465e-05,0.0001226186733039546
232,cobN2_75,0.00011958988446124916,0.000515967926750696,0.0,0.0,1.596828087866315e-05,0.00021312293217115922
233,slr2012_14,7.576828356464027e-05,0.0,0.0,1.3919610043743186e-05,4.450733606606112e-05,7.7760443614526e-05
234,sll0595_14,0.0001074522468028359,1.7074429840767607e-05,0.0,0.00010553006684326228,2.751980321641947e-05,0.00015223066583654226
235,Entry53_30,5.879660839724859e-05,0.0,0.0,0.00010973832104253349,9.139292673107209e-05,0.00010329441526625651
236,Entry202_66,4.897090172139025e-05,1.894194560460156e-05,0.0,0.0,0.0008215170886086701,1.779500020737663e-05
237,sll0426_8,4.4031776440477504e-05,0.0,0.0,0.0,0.0,9.592617299288963e-06
238,slr1626_27,7.308854538031528e-05,0.0,0.0,1.7156728658567183e-05,0.0,4.4904570835801956e-05
239,mltA_17,6.741380569586232e-05,0.0,0.0,0.0,0.0,5.5748399087172105e-05
240,slr0751_71,0.0001587876233927482,1.4673338144409659e-05,0.0,8.804962632321269e-05,4.654584000801812e-05,0.0002934321388362209
241,sll1330_35,0.0001251595363737678,0.0,0.0,0.0,0.002952772959924711,9.249692816125978e-05
242,lepB2_58,0.0002286184478430997,0.0,0.0001949886819418694,8.545993143135351e-05,2.5481299274462477e-05,5.723131577112016e-05
243,slr6042_35,5.569651912518634e-05,0.0,0.0,0.0,0.0,5.9363008504295474e-05
244,sll0174_45,3.735870292264857e-05,0.0,0.0,0.0,0.0,6.812148516886366e-06
245,pcnB2_9,2.989747111531229e-05,0.0,1.4524296606470721e-05,0.0,0.0,3.568268270750001e-05
246,slr2010_11,0.00015789437733130653,0.0,8.787199446914786e-05,0.00010488264312029748,0.0003434879142197541,0.00019491086164642212
247,slr0241_55,0.00014896191671688987,0.0,5.737097159555934e-05,0.00021203126927097176,2.242354336152697e-05,0.00010978217575852926
248,Entry814_6,0.00017591693021804138,0.0,0.00017029737771086917,2.1688694719320773e-05,1.494902890768465e-05,4.6850898983483785e-05
249,Entry2037_106,0.00023812889120315519,2.801273645750935e-05,0.0002483654719706493,0.0004635553856427963,0.00044337460737564697,0.000423001984096182
250,pheA_30,1.9651413351716688e-05,0.0,0.0,0.0,0.0,1.3160885570038966e-05
251,folD_7,0.00013445980418995456,0.0,0.0,0.0,0.0,8.68896494500812e-05
252,dacB_30,8.191591822279763e-05,0.0,0.0,0.0,0.0,8.503600359514613e-05
253,slr1117_56,9.105855438108296e-05,0.0,0.0003729113153711357,1.1329915151883987e-05,3.023780847236213e-05,8.443356869229224e-05
254,Entry1254_90,0.00011507111026807363,0.0,0.0,0.00010326408381288548,2.8878805844390803e-05,9.787250114057146e-05
255,slr1760_15,3.699089572087848e-05,0.0,0.0,0.0,0.0,2.8731510751493518e-06
256,slr1855_126,5.102011327410937e-05,7.043202309316636e-05,0.0,0.0,0.0,9.397984484520783e-05
257,ssr5074_149,3.052799774691817e-05,0.0,0.00023021010121256088,0.0,0.0,1.946328147681819e-05
