	Lib36_sorted1	Lib36_sorted2	Lib66_sorted1	Lib66_sorted2
sll1764_14	0	0	1	0
sll1765_10	0	1	0	0
sll0360_87	0	1	0	0
sll5062_33	0	1	0	0
sll1161_12	0	1	0	0
Entry2107_1	0	0	0	1
Entry1678_39	1	0	0	0
Entry1032_26	0	0	0	1
Entry1586_34	0	0	0	1
Entry1366_56	1	0	0	0
Entry1605_47	0	0	1	1
Entry776_62	0	1	0	0
Entry798_2	0	0	0	1
Entry1597_44	0	0	0	1
Entry1592_52	0	0	1	0
Entry713_111	1	0	0	0
Entry43_23	0	1	0	0
Entry41_46	0	1	0	0
Entry1687_54	0	0	1	0
Entry1689_39	0	0	0	1
Entry1466_29	0	0	1	1
Entry1466_85	0	0	1	0
Entry884_43	0	1	0	0
Entry957_75	1	0	0	0
Entry166_53	1	0	0	0
Entry789_41	0	0	0	1
Entry1561_48	0	0	0	1
Entry1300_44	0	1	0	0
Entry549_0	0	0	0	1
Entry1949_49	0	1	0	0
Entry941_61	0	0	0	1
Entry154_29	0	0	1	0
Entry1770_51	1	0	0	0
Entry1571_64	1	0	0	0
Entry444_14	0	0	1	0
Entry445_0	1	0	0	0
Entry202_66	0	0	0	1
Entry1959_68	0	1	0	0
Entry99_81	0	0	0	1
Entry1486_30	0	0	1	0
Entry840_31	1	0	0	0
Entry141_35	1	0	0	0
Entry329_35	0	1	0	0
Entry1143_15	0	0	0	1
Entry1326_11	0	1	0	0
Entry210_21	0	0	1	0
Entry217_132	1	0	0	0
Entry857_2	1	0	0	0
Entry1557_12	0	1	0	0
Entry1084_73	1	0	0	0
Entry1154_34	1	0	0	0
Entry665_25	0	1	0	0
Entry1721_53	0	0	0	1
Entry1423_22	1	0	0	0
Entry267_4	1	0	0	0
Entry593_45	0	0	1	0
Entry591_1	0	0	0	1
Entry863_57	1	0	0	0
Entry861_39	0	0	0	1
Entry129_35	0	0	1	0
Entry1529_99	0	1	0	0
Entry695_7	0	1	0	0
Entry1632_1	0	1	0	0
Entry1457_8	0	1	0	0
Entry477_28	0	0	1	0
Entry909_43	0	0	1	0
Entry119_12	0	0	1	0
Entry1534_10	0	0	1	0
Entry1199_68	0	1	0	0
Entry1628_8	1	0	0	0
Entry249_47	1	0	0	0
Entry1993_7	1	0	0	0
Entry487_23	0	0	1	0
Entry1050_116	0	0	1	0
Entry1053_38	1	0	0	0
Entry653_0	1	0	0	0
Entry255_23	0	0	0	1
Entry1271_33	1	0	0	0
Entry394_70	0	0	1	0
Entry1267_71	0	0	0	1
Entry1602_1	1	0	0	0
Entry557_99	0	0	1	0
Entry635_150	0	0	1	0
Entry1677_0	0	0	0	1
Entry702_7	0	0	1	0
Entry700_26	1	0	0	0
Entry529_32	0	0	1	0
Entry525_0	0	1	0	0
Entry1641_36	1	0	0	0
Entry1814_67	1	0	0	0
Entry1924_29	0	1	0	0
Entry1738_58	0	0	1	0
Entry289_59	1	0	0	0
Entry1063_109	1	0	0	0
Entry519_0	0	0	0	1
Entry358_33	1	0	0	0
Entry359_59	0	0	1	0
Entry1804_35	0	1	0	0
Entry1808_32	0	1	0	0
Entry1808_44	1	0	0	0
Entry1809_20	0	0	0	1
Entry1887_33	0	0	0	1
Entry2050_16	1	0	0	0
Entry1127_19	0	1	0	0
Entry1015_9	0	1	0	0
Entry1016_30	0	1	0	0
Entry1236_0	0	0	1	0
Entry610_37	0	1	0	0
Entry1349_7	0	0	1	0
Entry1341_42	0	1	0	0
Entry1900_75	0	0	0	1
Entry1542_8	0	0	0	1
Entry1138_16	0	1	0	0
Entry1008_37	0	0	1	0
Entry1007_3	0	0	0	1
Entry515_42	0	1	0	0
Entry1912_39	0	1	0	0
