	Lib36_sorted1	Lib36_sorted2	Lib66_sorted1	Lib66_sorted2
slr1906_10	0	1	0	0
slr1901_44	0	1	0	0
sll1389_76	0	1	0	0
slr0643_58	0	0	1	0
slr2015_56	1	0	0	0
sll0228_22	0	0	1	0
cbiA_67	0	0	1	0
slr1115_49	0	0	1	0
gltA_41	0	0	1	1
rfbD2_86	0	1	0	0
slr0510_24	0	0	1	0
slr0511_495	0	1	0	0
slr1183_212	0	1	0	0
slr1119_13	0	0	0	1
slr1599_10	0	0	0	1
sll0396_118	0	0	1	0
slr0269_37	1	0	0	0
sll1621_4	0	1	0	0
slr0642_49	0	0	0	1
slr0644_70	0	0	1	0
htrA_20	0	0	0	1
ddlA_85	0	0	0	1
sll0577_22	0	1	0	0
slr0880_22	1	0	0	0
ssr2551_41	0	1	0	0
nrtD2_23	0	0	1	0
slr0865_26	0	0	0	1
sll8017_13	0	1	0	0
hemL_3	0	0	1	0
sms_34	1	0	0	0
slr2000_108	0	0	1	0
slr2005_46	0	0	0	1
slr1610_17	0	0	0	1
nth_25	0	1	0	0
sll1849_88	0	0	0	1
slr1100_24	0	1	0	0
slr0695_16	1	0	0	0
slr5037_64	1	0	0	0
nifJ_9	0	1	0	0
sll0498_123	0	0	0	1
sll7002_252	0	0	0	1
sll0488_33	0	0	0	1
slr0981_86	0	0	0	1
sll0815_26	0	0	1	0
sll0722_53	1	0	0	0
slr1928_56	1	0	0	0
slr1924_51	1	0	0	0
slr1920_54	0	0	1	0
dctP_61	0	0	0	1
sll5004_17	0	0	0	1
ssl0294_28	0	1	0	0
ssl1520_28	0	0	1	0
pknA3_27	0	0	0	1
slr0060_41	0	1	0	0
sll0543_22	0	1	0	0
adk2_55	0	1	0	0
sll0550_10	0	0	1	0
slr0291_167	0	1	0	0
slr1829_64	1	0	0	0
slr5102_116	0	0	0	1
lepB2_44	0	0	0	1
putA_70	0	0	1	0
slr1627_53	0	1	0	0
sll1858_10	0	1	0	0
slr0196_34	1	0	0	0
exbB2_37	0	1	0	0
slr2100_55	1	0	0	0
slr0440_62	0	0	0	1
slr5127_126	0	0	0	1
slr0688_53	0	0	1	0
slr1570_40	1	0	0	0
slr5016_53	1	0	0	0
ilvE_15	0	0	0	1
mmsB_122	0	1	0	0
slr1315_23	0	1	0	0
slr7098_34	0	0	1	0
sll1696_70	1	0	0	0
sll0736_9	0	1	0	0
slr1951_111	1	0	0	0
sll1041_44	1	0	0	0
ssl1533_29	0	0	0	1
ppx_17	1	0	0	0
slr0058_99	0	0	0	1
rpoC2_19	0	0	1	0
isiB_34	1	0	0	0
sll1691_10	0	0	0	1
glmU_120	0	0	1	0
sll7063_233	0	0	1	0
sll0230_90	0	0	1	0
lmbP_132	0	0	0	1
sll0839_37	1	0	0	0
slr2118_42	0	0	0	1
cysE_87	1	0	0	0
slr6047_101	0	1	0	0
tktA_58	0	0	1	0
slr0554_8	0	0	1	0
slr6097_330	0	0	0	1
lytB_41	1	0	0	0
slr0168_32	1	0	0	0
pheS_31	0	1	0	0
htpG_50	0	0	1	0
slr1495_40	0	0	0	1
slr0305_121	0	1	0	0
slr1542_35	0	0	1	0
ssl7042_34	0	0	0	1
ssr0692_41	0	0	1	1
ssr3571_39	0	0	0	1
sll0224_57	1	0	0	0
slr1800_34	0	0	1	1
slr0820_48	0	0	1	0
slr1298_129	1	0	0	0
argJ_99	0	0	1	0
argB_34	0	0	1	0
ssr2194_31	0	1	0	0
slr0959_147	0	1	0	0
sll0912_127	0	0	1	0
sll0913_58	0	0	0	1
sll1537_3	0	1	0	0
slr1142_17	0	1	0	0
slr0495_6	0	0	1	0
slr0496_9	0	0	1	0
hisS2_8	0	0	1	0
gdhA_25	1	0	1	1
sll1062_64	0	0	1	0
psaK_34	0	0	1	0
sll1319_158	0	0	0	1
sll1080_33	1	0	0	0
slr1572_16	0	1	0	0
slr8021_52	0	0	0	1
map2_5	1	0	0	0
manA_11	0	0	1	0
sll0219_9	1	0	0	0
slr1816_468	1	0	0	0
lytR_56	0	0	0	1
slr0964_37	1	0	0	0
nusB_3	1	0	0	0
slr1963_10	0	0	1	0
sll1411_79	0	0	0	1
slr0360_62	0	0	0	1
sll1072_49	0	0	0	1
sll1305_8	0	1	0	0
slr1171_40	0	1	0	0
slr1778_190	0	1	0	0
slr8016_145	1	0	0	0
slr2096_294	0	0	0	1
slr0773_37	0	0	1	0
hisD2_26	0	0	0	1
sll8040_37	0	1	0	0
ndhE_103	0	1	0	0
sll1095_52	0	1	0	0
sll1092_208	0	1	0	0
sll1330_35	0	0	0	1
hemH_77	1	0	0	0
ntcB_82	0	1	0	0
nrtB_46	0	1	0	0
sll0687_83	1	0	0	0
sll0446_8	0	0	1	0
sll1247_64	0	0	1	0
slr1990_53	0	0	1	0
glpX_10	0	0	0	1
slr1768_25	1	0	0	0
slr1768_55	0	0	1	0
ggt_40	0	0	1	0
slr1342_10	1	0	0	0
pntB_19	0	0	0	1
sll0782_159	1	0	0	0
rfbA_14	1	0	0	0
mntA_7	0	0	0	1
sll0650_134	0	1	0	0
sll1784_73	0	0	0	1
slr0909_115	0	0	0	1
slr0347_25	0	0	0	1
pknA_16	0	0	1	0
sll1924_248	1	0	0	0
sll1924_6	0	0	1	1
recG_42	0	0	0	1
sll0238_85	0	0	0	1
nrtC2_71	0	0	0	1
slr7015_15	0	1	0	0
slr7012_39	0	0	0	1
sll0790_151	1	0	0	1
sll0266_28	1	0	0	0
slr0353_108	0	1	0	0
ssl5103_136	0	1	0	0
slr1535_70	0	0	0	1
gabD_21	0	1	0	0
sll0462_56	1	0	0	0
ssl3451_41	0	0	1	0
ssr2898_74	0	1	0	0
chlG_19	0	1	0	0
sll1916_46	1	0	0	0
ssr0536_11	1	0	0	0
sll2015_49	0	0	0	1
slr0729_4	0	0	1	0
ssr0759_10	0	0	0	1
glgP_31	1	0	0	0
sll0529_100	0	1	0	0
sll1236_27	1	0	0	0
sll1236_15	1	0	0	0
ssl5113_156	0	0	0	1
slr1529_4	1	0	0	0
slr0116_4	0	1	0	0
slr1940_78	0	0	0	1
sll0909_364	1	0	0	0
ssl0259_79	0	0	1	0
rps4_35	0	0	1	0
pyrG_61	0	0	1	0
ssl2920_28	0	0	0	1
ssr2016_62	0	0	0	1
ssl1923_17	0	1	0	0
slr1266_118	0	1	0	0
codA_7	0	0	1	0
slr1065_6	0	0	1	0
rhnB_42	1	0	0	0
sll0240_72	0	0	1	0
sll0240_37	0	1	0	0
sll0400_109	0	0	1	0
sll0406_80	0	0	0	1
slr7037_49	1	0	0	0
sll0625_21	0	1	0	0
sll0241_50	0	0	0	1
sll0759_47	0	1	0	0
slr1885_29	0	0	1	0
slr1880_94	1	0	0	0
slr1888_3	1	0	0	0
ssl5129_42	0	1	0	0
sll1575_11	0	1	0	0
sll1575_95	0	1	0	0
sll1377_31	1	0	0	0
slr1384_127	0	1	0	0
ruvA_20	0	0	1	0
slr7080_53	1	0	0	0
rps6_65	0	0	1	0
rps9_47	0	1	0	0
purH_41	0	0	1	0
slr0634_47	1	0	0	0
cpcB_53	1	0	0	0
sll0729_42	0	0	0	1
sll0183_12	1	0	0	0
sll0982_64	1	0	0	0
slr0388_36	0	0	1	0
slr1896_27	0	0	0	1
slr1894_24	0	0	0	1
sll0611_18	0	0	1	0
sll1562_56	1	0	0	0
dnaJ_33	0	0	1	0
slr1658_16	0	1	0	0
spoT_21	1	0	0	0
spoT_7	0	0	0	1
pstC_41	1	0	0	0
pstA_13	1	0	0	0
sll5006_229	0	1	0	0
slr0407_62	1	0	0	0
slr0392_238	0	1	0	0
sll0992_53	1	0	0	0
sll0565_21	0	0	1	0
sll0445_130	0	1	0	0
sll8018_74	0	1	0	0
slr2060_7	0	0	1	0
gspE_29	0	1	0	0
llaI.2_63	0	0	1	0
slr1863_130	1	0	0	0
sll0281_7	0	0	0	1
sll1770_8	1	0	0	0
sll1773_11	0	0	1	0
rfbU_194	0	0	1	0
slr0240_13	0	0	1	0
slr1441_18	0	0	0	1
slr1912_45	0	1	0	0
murZ_22	0	0	1	1
slr1293_28	0	1	0	0
sll0169_39	0	0	0	1
ssr2611_52	0	0	1	0
