	Lib36_sorted1	Lib36_sorted2	Lib66_sorted1	Lib66_sorted2
def_7	0	0	0	1
slr1037_37	0	0	0	1
slr1187_28	1	0	0	0
guaB2_29	1	0	1	0
slr1970_8	1	0	0	0
slr1970_22	0	0	1	0
minC_39	0	1	0	1
minD_58	0	1	1	0
minE_61	0	1	0	0
hpcE_23	0	1	0	0
sll0149_9	0	0	1	0
sll0148_40	0	0	1	0
sll0499_208	1	0	0	0
sll0499_82	0	0	1	0
sll0498_123	0	0	0	1
ssr3304_70	0	1	0	0
sll0142_58	0	1	0	0
sll0142_44	1	0	0	0
cynS_176	1	0	0	0
sll7002_252	0	0	1	1
sll7002_294	0	1	0	0
slr1856_34	0	0	1	0
sll0488_33	0	0	0	1
slr1855_91	0	1	1	0
slr1852_63	0	0	0	1
ssr2549_34	0	0	1	1
slr1859_166	1	1	0	0
menD_31	0	0	0	1
menA_34	0	0	1	0
sll8009_34	0	0	0	1
sll8004_68	1	0	1	1
sll8006_13	0	0	1	0
sll8002_4	0	0	0	1
slr0981_86	0	0	0	1
slr0980_110	1	0	0	0
hsp17_21	0	1	1	0
phr2_68	0	0	0	1
slr0989_52	0	0	1	0
sll1033_14	0	0	0	1
slr1584_30	0	0	0	1
sll0039_28	0	1	0	0
sll1526_66	0	1	0	0
sll1527_23	0	0	1	1
sll0815_26	0	0	1	0
sll0811_172	1	0	0	0
slr0210_7	0	0	1	0
sll0727_70	0	1	0	0
sll0722_28	0	1	0	0
sll0722_53	1	0	0	0
sll1455_48	0	0	1	0
sll1455_34	0	0	1	0
petM_52	1	0	1	0
sll1459_16	0	1	0	0
slr1928_56	1	0	0	0
slr1928_80	0	0	1	0
slr1927_102	0	1	0	0
slr1924_51	1	0	0	0
slr1920_54	0	0	1	0
dctP_61	0	0	0	1
slr0325_91	0	0	0	1
slr0324_62	0	1	0	0
slr0322_12	1	0	1	1
slr0320_132	0	0	0	1
sll0926_33	0	1	0	0
sll1036_136	1	0	0	0
sll1037_46	0	1	0	0
ssl0353_133	0	0	1	0
sll5004_17	0	0	0	1
ssl0294_28	0	1	0	0
sll1039_78	0	1	0	0
ssl1520_28	0	0	1	0
cbiP_61	0	0	0	1
pknA3_42	0	1	1	0
pknA3_27	0	0	0	1
slr0668_98	0	1	1	0
slr0664_70	1	0	0	0
iutA_52	0	1	0	0
slr0067_47	0	0	1	0
slr0060_41	0	1	0	0
sll5044_5	0	0	1	1
sll5032_50	1	0	0	0
ssl1633_39	0	1	0	0
slr0033_14	0	0	0	1
slr0033_31	0	0	1	0
ssl1326_52	0	1	0	0
sll0544_81	0	0	0	1
sll0546_15	1	0	0	0
sll0543_22	0	1	0	0
ssl3829_20	0	1	0	0
sll7089_35	1	0	0	0
sll0480_37	0	1	0	1
adk2_55	0	1	0	0
sll0486_201	1	0	0	0
sll0552_59	0	0	1	0
sll0550_10	1	0	1	0
sll7090_41	0	1	0	0
sll7090_53	0	1	0	0
ssl3364_37	1	0	0	0
slr7081_115	1	0	0	0
slr7081_23	0	1	0	0
slr0291_167	0	1	0	0
slr1820_86	0	0	1	0
rnb_65	1	0	0	0
rnb_26	0	1	0	0
slr1829_64	1	0	0	0
slr0929_43	0	0	0	1
slr1421_115	0	0	0	1
slr1421_62	0	1	0	0
slr2126_145	0	1	0	0
slr2125_16	1	0	0	0
cbiC_41	0	0	1	0
gltS_111	1	0	0	0
slr1699_39	0	0	1	0
slr5102_43	0	0	1	0
slr5102_116	0	0	1	1
lepB2_44	0	0	1	1
slr2030_52	0	0	1	0
putA_70	0	0	1	0
slr1627_53	0	1	0	0
slr1627_7	0	0	1	0
sll1858_10	0	1	0	0
frr_136	0	0	1	0
merR3_16	0	1	1	0
merR3_96	0	0	1	0
slr0196_34	1	0	0	0
slr0196_4	1	0	0	0
slr0197_76	0	0	1	0
exbB2_37	0	1	0	0
slr2100_10	1	0	0	0
slr2100_55	1	0	0	0
apcE_50	1	0	0	0
slr2104_46	0	0	1	0
slr0440_105	0	0	0	1
slr0440_62	0	0	0	1
slr5127_126	0	0	0	1
slr0449_12	0	0	1	0
slr1135_304	0	0	1	1
gnd_119	0	0	0	1
slr0688_53	0	0	1	0
lepB_10	0	1	0	0
fus4_94	0	1	0	0
rfbB3_62	0	0	0	1
prk_40	0	1	0	0
sll1318_3	1	0	0	0
slr1827_61	0	1	0	0
slr1570_40	1	0	0	0
slr1570_17	0	1	0	0
slr6051_82	0	1	0	0
glnA_4	0	0	1	1
trpF_4	0	0	1	0
slr5016_53	1	0	0	0
slr5012_156	0	1	1	0
nifS2_48	0	0	1	1
ilvE_44	1	0	0	0
ilvE_15	0	0	0	1
mmsB_122	1	1	0	0
thl_18	1	0	0	0
slr1315_23	0	1	0	0
trpC_11	0	0	0	1
topA_27	0	1	0	0
slr0846_90	0	1	0	0
slr0845_4	1	0	0	0
slr0842_6	0	0	0	1
slr0841_34	0	0	1	1
stpA_11	1	0	0	0
sll1739_24	0	0	1	0
sll1739_94	0	0	1	0
sll1738_41	0	1	0	0
ssr2972_90	0	0	0	1
sll1734_13	0	1	0	0
slr0990_49	0	1	0	0
slr0990_37	0	0	1	0
sll0157_69	0	1	0	0
slr7098_34	0	1	1	0
ssl2162_46	0	1	0	1
slr7094_34	0	0	1	0
slr7096_87	1	0	0	0
capA_31	0	0	0	1
sll1696_70	1	0	0	0
sll1289_28	0	1	0	0
ctaC2_95	0	0	1	0
sll0804_7	1	0	0	0
sll0800_72	0	1	0	0
sll0802_127	1	0	0	0
slr0208_29	1	0	0	0
sll0736_9	0	1	0	0
sll0737_16	0	0	1	0
sll0737_4	0	0	1	0
sll0735_42	1	0	0	0
sll0735_19	1	0	0	0
sll1601_9	0	1	0	0
sll1606_27	1	0	0	0
sll1464_9	0	0	1	0
sll1464_25	0	1	0	0
sll1466_52	0	1	0	0
sll1469_90	0	1	0	0
sll1192_28	0	1	0	0
ssr2201_27	0	0	1	0
slr1951_125	0	0	1	0
slr1951_111	1	0	0	0
slr1950_31	1	0	0	0
slr1484_34	1	0	1	0
ribG_67	0	1	0	0
ribG_11	0	0	1	0
sll0930_112	0	1	0	0
sll0930_79	0	1	0	0
sll0931_78	0	1	0	0
sll0933_9	1	0	0	0
sll1041_44	1	0	0	0
sll1516_11	0	1	0	0
sll1510_137	0	1	0	0
ndbA_18	0	0	0	1
ppc_15	0	0	0	1
ssl1533_8	0	0	1	0
ssl1533_29	0	0	0	1
ppx_17	1	0	0	0
sll1995_44	0	0	1	0
sll1997_63	0	1	0	0
slr0058_99	0	0	1	1
sgl0001_39	0	0	0	1
bchB_109	0	1	0	0
sll1692_140	1	0	0	0
slr8044_13	1	0	1	0
rpoC2_19	0	0	1	0
slr2027_67	0	1	0	0
sll1864_59	1	0	0	0
slr1638_84	0	1	0	0
isiB_34	1	0	0	0
gdhB_32	1	0	0	0
sll1691_10	0	0	0	1
slr1636_109	0	0	1	0
slr1634_79	0	1	0	0
slr0784_92	0	0	0	1
aspA_163	0	1	0	0
slr2070_11	0	1	0	0
slr2070_23	0	0	0	1
sll1725_16	0	1	0	0
sll1725_5	0	0	1	0
sll0098_18	0	0	0	1
sll0098_4	0	0	0	1
slr1305_44	0	0	0	1
slr1301_58	1	0	0	0
ski2_8	1	0	0	0
ski2_24	1	0	0	0
ssl2971_81	0	0	1	1
slr0355_84	1	0	0	0
slr0355_21	0	0	0	1
glmU_120	0	0	1	0
rps32_73	0	1	0	0
p_56	0	1	0	0
ssl3379_35	0	0	0	1
ssl3379_19	0	1	0	0
sll7067_140	0	1	0	0
sll7063_233	0	0	1	0
ssl1263_76	0	1	0	0
slr1837_4	0	1	0	0
sll0237_84	0	1	0	0
sll0230_90	0	0	1	0
sll0808_326	0	0	0	1
proC_55	0	0	1	1
lmbP_132	0	0	1	1
slr0209_54	1	0	0	0
sll1722_89	1	0	0	0
cysM_28	0	0	1	0
sll1293_54	0	0	1	0
cysH_30	0	1	0	0
cysK_49	0	0	1	0
cysA_104	0	0	1	0
sll0839_37	1	0	0	0
slr0945_46	1	0	0	0
slr0236_25	0	0	1	0
rpoF_23	0	0	1	0
ssr6032_17	1	1	0	0
sll0832_122	0	0	1	0
cysQ_55	0	0	1	0
sll0837_89	0	0	0	1
slr0948_37	1	0	0	0
sll1193_28	1	0	0	0
sll1618_37	0	1	0	0
slr1230_54	0	0	0	1
slr0942_63	0	0	1	0
slr1494_6	0	0	1	0
cysT_25	1	0	0	0
ndhD2_37	0	1	0	0
ndhD2_15	0	1	1	0
ssr0336_103	0	0	0	1
amiA2_105	0	0	1	0
ssl7051_68	0	0	1	0
ssl7051_125	1	0	0	0
slr6106_223	0	0	0	1
psbL_17	0	0	0	1
truA_61	0	0	1	0
ssr1558_97	0	0	1	0
slr2111_31	0	1	0	0
slr2118_42	0	0	0	1
slr2119_36	0	0	1	0
dgkA_15	1	0	0	0
